排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,额尔古纳河右岸（茅盾文学奖获奖作品全集28）,['迟子建'],None,http://img3m8.ddimg.cn/5/14/27878108-1_w_1703749538.jpg,2019年06月 ,人民文学出版社,16.00,32.00,5,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787020139590,"一九八一年三月十四日，病中的中国作家协会主席茅盾致信作协书记处：“亲爱的同志们，为了繁荣长篇小说的创作，我将我的稿费二十五万元捐献给作协，作为设立一个长篇小说文艺奖金的基金，以奖励每年*秀的长篇小说。我自知病将不起，我衷心地祝愿我国社会主义文学事业繁荣昌盛！”
茅盾文学奖遂成为中国当代文学的*奖项，自一九八二年起，基本为四年一届。获奖作品反映了一九七七年以后长篇小说创作发展的轨迹和取得的成就，是卷帙浩繁的当代长篇小说文库中的翘楚之作，在读者中产生了广泛的、持续的影响。
人民文学出版社曾于一九九八年起出版“茅盾文学奖获奖书系”，先后收入本社出版的获奖作品。二〇〇四年，在读者、作者、作者亲属和有关出版社的建议、推动与大力支持下，我们编辑出版了“茅盾文学奖获奖作品全集”，并一直努力保持全集的完整性，使其成为读者心目中“茅奖”获奖作品的权威版本。现在，我们又推出不同装帧的“茅盾文学奖获奖作品全集”，以满足广大读者和图书爱好者阅读、收藏的需求。
获茅盾文学奖殊荣的长篇小说层出不穷，“茅盾文学奖获奖作品全集”的规模也将不断扩大。感谢获奖作者、作者亲属和有关出版社，让我们共同努力，为当代长篇小说创作和出版做出自己的贡献，为广大读者提供更多的优秀作品。
  人民文学出版社编辑部
 ",791234,"['经典必读（123）', '装帧精美（110）', '温情感人（80）', '引人入胜（71）', '情节曲折（61）', '中国原创（57）']"
2,我与地坛（纪念版）（2024年百班千人寒假书单 九年级推荐阅读）,['史铁生'],None,http://img3m1.ddimg.cn/6/9/21055821-1_w_1703840299.jpg,2011年06月 ,人民文学出版社,17.50,29.00,6.04,文学,中国现当代随笔,32开,胶版纸,精装,否,9787020084357,"这本书是在史铁生2010年12月30日出版的，第二天的凌晨，史铁生就永远离开我们了。本来，这是我们送给他的一个新年大礼，现在回过头来想，《我与地坛》其实是史铁生送给我们每个人的礼物。当年《我与地坛》发表的时候，韩少功说过，即使今年没有任何文学作品，只要有《我与地坛》，就是文学的丰收年。这篇作品是史铁生送给所有人的无价的礼物。史铁生以他的毅力和智慧，度过了四十年的轮椅生涯，写下了数百万字的作品，成为当代有成就的作家。他的影响和贡献，远超于文学之上；他给予读者的，不仅是精美洁净的文字，更是健康的精神、深沉的爱和对人生真谛的探寻。现在，他走了，但他的精神永远存在。《我与地坛》是史铁生在讲他自己的故事，我们可以从中重新认识史铁生，深刻理解史铁生。
    ",1159332,"['经典必读（997）', '装帧精美（853）', '引人入胜（589）', '优美隽永（553）']"
3,活着（余华代表作，精装，易烊千玺推荐阅读）,"['余华 ', ' ，新经典 出品']",None,http://img3m3.ddimg.cn/23/25/29311943-1_w_34.jpg,2021年10月 ,北京十月文艺出版社,31.00,45.00,6.89,小说,社会小说,32开,轻型纸,精装,否,9787530221532,"★《活着》讲述了人如何去承受巨大的苦难；讲述了眼泪的宽广和丰富；讲述了绝望的不存在；讲述了人是为了活着本身而活着的，而不是为了活着之外的任何事物而活着。                   
★本书获
-意大利格林扎纳·卡佛文学奖
-意大利朱塞佩·阿切尔比国际文学奖
★同名电影获戛纳国际电影节评审团大奖
★这是一个人和他的命运之间的友情，这是ZUI为感人的友情，因为他们互相感激，同时也互相仇恨；他们谁也无法抛弃对方，同时谁也没有理由抱怨对方。
他们活着时一起走在尘土飞扬的道路上，死去时又一起化作雨水和泥土。
★《活着》里的福贵让我相信：生活是属于每个人自己的感受，不属于任何别人的看法。我想，这可能是写作给予我的酬谢。
  ——余华 
  ",1376857,"['经典必读（4485）', '装帧精美（4281）', '温情感人（2925）', '情节曲折（2554）', '引人入胜（2428）']"
4,病隙碎笔 2021纪念版（史铁生充满灵性光辉的生命笔记，启迪无数读者的长篇哲思散文经典）,"['史铁生 ', ',博集天卷 出品']",None,http://img3m3.ddimg.cn/26/23/29325113-1_w_6.jpg,2021年11月 ,湖南文艺出版社,22.00,48.00,4.59,文学,中国现当代随笔,32开,胶版纸,平装-胶订,否,9787540483432,"《病隙碎笔》（纪念版2021）
▲《病隙碎笔》荣获第三届鲁迅文学奖，《病隙碎笔》(之六)荣获首届老舍文学奖，首届华语文学传媒大奖年度杰出成就奖作家作品。
▲光影纪念，典藏之选：内文特别附录史铁生先生亲摄照片，诠释信仰与爱，精美四色印刷，用纸考究。
▲史铁生夫人陈希米亲自审定，精细校订郑重出版。
▲史铁生充满灵性光辉的生命笔记。读史铁生，不可不读《病隙碎笔》，这是史铁生的一部充满了深刻生命体验的人生笔记，也是深受读者喜爱的当代哲思散文经典。读史铁生，如读我们自己，走失的心会安定下来；在深刻的困境中，重新寻获信心与爱。
▲当代文学大家史铁生的长篇哲思散文《病隙碎笔》，是他从身患尿毒症、接受透析开始，以四年时间写成，被誉为“二〇〇二年度中国文学为重要的收获”（首届华语文学传媒大奖授奖词），是“在深刻的困境中，对神性和人生终极意义所做的一次艰苦卓绝而又辉煌壮丽的追问与眺望”。
▲首届华语文学传媒大奖年度杰出成就奖得主史铁生授奖词：史铁生是当代中国令人敬佩的作家之一，他的写作与他的生命完全同构在了一起，用残缺的身体，说出了为健全而丰满的思想。他体验到的是生命的苦难，表达出的却是存在的明朗和欢乐，他睿智的言辞，照亮的反而是我们日益幽暗的心。他的《病隙碎笔》作为二〇〇二年度中国文学为重要的收获，一如既往地思考着生与死、残缺与爱情、苦难与信仰、写作与艺术等重大问题，并解答了“我”如何在场、如何活出意义来这些普遍性的精神难题。
▲史铁生作为“纯粹的写作者”，“其想象力和思辨力代表了我们当代文学所能达到的高度”；“他用自己的苦难提升了大家对生命的认识，而我们没有任何成本地享受了他所达到的精神高度”。
 ",301371,"['经典必读（4）', '装帧精美（1）']"
5,胜者心法：资治通鉴成事之道（冯唐从管理讲透古今胜者之道！随书附赠冯唐书法书签）,"['冯唐 ', '；磨铁文化 出品']",None,http://img3m1.ddimg.cn/39/5/29623611-1_w_1697528643.jpg,2023年09月 ,民主与建设出版社,49.60,72.00,6.89,管理,一般管理学,32开,胶版纸,精装,否,9787513942935,"★战略管理专家冯唐从管理讲透古今胜者之道
40年历史专研积累，20年管理实战经验，50年跨界成事阅历，知行心得凝结成此书，懂国人、接地气、中国人读得懂、用得上的成事之书！
★历代管理者明镜之书，现代人能赢的生存指南
《资治通鉴》是历代统治者的治国教科书、古今政商必阅的战略参考书、普通人洞悉世事人心的处世宝典。冯唐带你看1300年兴衰成败，懂人性、知谋略、明得失，天下无不可成之事！
★纵横职场、社交处世、管理人生，读了就能用
古代管理智慧x冯唐成事学，麦肯锡实战方法 经典历史案例 现代场景应用。洞悉人性的逻辑，知人知己、胜人胜己；透视权谋的真相，人生少走弯路。
★精装典藏，帝王蓝镜面设计，附赠冯唐书法书签
封面复古帝王蓝特种纸，内页质感胶版纸，烫银工艺打造镜面效果。
 ",72055,['观点独特（1）']
6,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,"['岸見一郎, 古賀史健']",None,http://img3m2.ddimg.cn/33/26/28518072-1_w_9.jpg,2020年03月 ,机械工业出版社,27.50,55.00,5,成功/励志,心灵与修养,16开,胶版纸,平装-胶订,否,9787111495482,"「被讨厌的勇气」并不是要去吸引被讨厌的负向能量，而是，如果这是我生命想绽放出美的光彩，那么，即使有被讨厌的可能，我都要用自己的双手双脚往那里走去。」
「因为拥有了被讨厌的勇气，于是有了真正幸福的可能。」

你是否常常对繁琐的生活感到乏味？
你是否时时为复杂的人际关系感到疲惫？
你是否认为人生的意义越来越模糊难见？
我们如何能够在繁杂的日常琐碎和复杂的人际关系中用自己的双手去获得真正的幸福？
这一切的答案尽在这本《被讨厌的勇气》中！

★日本亚马逊2014年度销售冠军，连续300天雄踞销售榜首！
★蔡康永、张德芬 陈文茜、曾宝仪、勇气推荐！
★张沛超、胡慎之、动机在杭州 作序推荐！
★阿德勒思想拥有改变人一生的力量。剩下的就只有能否鼓起迈出一步的“勇气” 
 ",1328249,"['受益匪浅（327）', '振奋人心（282）', '文笔流畅（272）', '感染力强（265）', '干货满满（245）', '内容丰富（219）', '实用（217）', '心灵鸡汤（198）']"
7,窄门（诺贝尔文学奖经典 读完《窄门》便读懂了纪德的一生 法文直译全新版 “你希望很快忘记吗？—我希望永远不忘”）,['[法] 安德烈·纪德，译者 顾琪静，果麦文化 出品'],None,http://img3m7.ddimg.cn/13/11/25479247-1_w_1702981587.jpg,2018年10月 ,天津人民出版社,22.50,45.00,5,小说,社会小说,32开,轻型纸,精装,否,9787201141527,"  法文直译全新版，更通俗易读，符合现代人的阅读习惯。
诺贝尔文学奖经典，法国文坛不可绕过的作家。
安德烈·纪德笔下刻骨铭心的爱恋。
读完《窄门》，你便读懂了纪德的一生。
封面设计更贴合小说主旨。
  推荐您购买果麦其他畅销书：
 ",245877,"['装帧精美（206）', '经典必读（202）', '引人入胜（135）', '温情感人（126）', '情节曲折（122）']"
8,小学生漫画.小学生社交情商漫画（提升社交力，培养高情商，甄选真朋友，拒绝被霸凌。全2册，歪歪兔童书馆出品）,"['歪歪兔童书馆', '绘']",None,http://img3m8.ddimg.cn/21/14/29602308-1_w_1695357610.jpg,2023年08月 ,海豚出版社,38.80,100.00,3.88,童书,动漫/卡通,32开,胶版纸,平装-锁线胶订,是,9787511064998,"★60条培养孩子社交力、提高情商的方法，处理成60个小学生闻乐见的漫画，解释清晰、轻松好读，还配有贴合生活的例子。让孩子大胆表达想法、学会有效沟通，结交优秀的朋友，避免校园霸凌。
★漫画风趣幽默，但又不是无脑搞笑，让孩子在会心一笑中掌握每种谬误的核心内涵，及时改正自己遇到的小问题；情景、例子贴近小学生学习与生活，可以即刻运用、解决问题。
 ",90175,[]
9,苏东坡传（林语堂纪念典藏精装版）,"['林语堂 ', ',博集天卷 出品']",None,http://img3m8.ddimg.cn/40/0/25211578-1_w_1708508098.jpg,2018年01月 ,湖南文艺出版社,26.00,52.00,5,传记,历史人物,32开,胶版纸,平装-胶订,否,9787540484880,"1. 林语堂指定授权纪念典藏版。

2. 独家拥有完整授权版本。

3. 一代国学大师，屡获诺贝尔文学奖提名的中国作家，华语文坛幽默睿智的一支笔。
 ",1075804,"['评价客观（6430）', '内容丰富（5126）', '素材全面（4980）', '值得收藏（4569）', '值得回味（3934）']"
10,一句顶一万句（一本让“中国脱口秀扛把子”李诞连声叫绝的茅奖好书，当当专享印签本）,['刘震云，长江新世纪 出品'],None,http://img3m7.ddimg.cn/93/36/29437347-1_w_14.jpg,2022年08月 ,花城出版社,34.00,68.00,5,小说,中国当代小说,32开,胶版纸,精装,否,9787536097261,"★ 中国当代著名作家、第八届茅盾文学奖得主、法兰西文学与艺术骑士勋章获得者刘震云经典长篇小说，豆瓣评分9.0分。
★ 刘震云凭借此书获得“茅奖”，被评论界称为“中国人的《百年孤独》”，曾被改编为电影、电视剧、舞台剧，广受好评。
★ 作品被翻译为30多种语言，收获了极高的国际赞誉。
★ “刘氏幽默”已经成为中国当代文坛的一个标签。
★ 读懂中国人系列好书，读《一句顶一万句》，懂得热闹背后的孤独。
★ 小说中的段落曾入2020年高考语文试题。
★ 知乎上“如何评价刘震云的作品《一句顶一万句》”提问下有42个回答，几乎都有“值得一读再读”“强烈震撼”等字样。
 ",375979,"['经典必读（12）', '温情感人（6）', '中国原创（5）', '引人入胜（5）', '装帧精美（5）', '情节曲折（2）']"
11,生死疲劳（不看不知道，莫言真幽默！全新版本！）,['莫言；读客文化 出品'],None,http://img3m5.ddimg.cn/37/23/29343835-1_w_1697019310.jpg,2022年01月 ,浙江文艺出版社,34.90,69.90,5,小说,中国当代小说,32开,轻型纸,平装,否,9787533966102,"◆ 不看不知道，莫言真幽默！在极度痛苦时笑出声来，获得内心深处的解脱。
◆ 莫言：“诺奖的评委主要是因为读完了《生死疲劳》，才把这个奖项授给了我。”
◆ 中国诺贝尔文学奖得主莫言代表作！
◆ 不看不知道，欲哭又想笑。活着不容易，幽默无价宝。——莫言
◆ 不管生活多苦闷，翻开本书都会笑出声来。
◆ 收录全新再版序、莫言漫像、莫言题词，了解本书创作背后的故事！
◆ 特别梳理人物关系图，清晰呈现主要人物关系！
◆ 5幅原创插画，还原本书精华场景！
 ",642292,"['经典必读（132）', '装帧精美（109）', '引人入胜（83）', '中国原创（72）', '情节曲折（70）', '温情感人（59）']"
12,长安的荔枝,"['马伯庸 ', ',博集天卷 出品']",None,http://img3m5.ddimg.cn/54/34/29470275-1_w_1.jpg,2022年10月 ,湖南文艺出版社,29.00,45.00,6.45,小说,历史小说,32开,胶版纸,平装-胶订,否,9787572608582,"唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”惹得世人艳羡杨贵妃上千年，但其中的荔枝是如何从五千余里外的岭南运送到长安城的，却鲜有史书详细记载，脑洞大开的马伯庸以此为蓝本构建了一个大唐社畜李善德拼尽全力做项目的故事，虽是历史小说，读者却能从中看到自己的生活影子，大城市买房落脚、职场情商博弈、不得已的违规逾矩等，小人物的挣扎是那么相似。一项将鲜荔枝运逾千里之距的艰难差事，以微观人事折射大唐宏观社会。
这部口碑非常好的历史小说只花了11天写就，小说刚一连载就获得了广大读者的好评，被数万人点评为神作，推荐值高达96%。微博、抖音、小红书和今日头条，海量读者自发评论和衍生二创。
本书小开本双封设计，随书附赠“荔枝鲜转运舆图”折页插图一张。
 ",430317,"['经典必读（8）', '装帧精美（7）', '情节曲折（6）', '引人入胜（5）', '温情感人（4）']"
13,蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,['罗伯特·戴博德，果麦文化 出品'],None,http://img3m9.ddimg.cn/71/33/28992419-1_w_1698919928.jpg,2020年07月 ,天津人民出版社,22.80,38.00,6,心理学,心灵疗愈,32开,轻型纸,平装-胶订,否,9787201161693,"        ◆英国经典心理咨询入门书，1997年长销至今
◆如果你不知道该不该去看心理医生，请先看看这本书
◆将心理知识巧妙融入故事情节，解析20多个心理学专业名词、展现一个心理咨询疗程的标准模板
◆媲美《自卑与超越》，比《自卑与超越》更好读
◆2小时轻松读完，零基础、无压力的心理入门书
◆演绎10次心理咨询全过程，见证疗愈与改变的发生

  ",1746512,"['心理治愈（1631）', '可读性强（1206）', '心理学必备（862）', '脑洞大开（753）', '内容专业（707）']"
14,神奇的答案之书（2024全新修订版，足足784页）畅销92个月的神奇之书，已给百万读者带去神秘指引，愿一切无解都有解。,['梅森 知书达礼 出品'],None,http://img3m1.ddimg.cn/10/1/24019291-1_w_4.jpg,2016年07月 ,吉林美术出版社,19.80,35.00,5.66,休闲/爱好,占卜/手相/算命,24开,胶版纸,平装-胶订,否,9787557514259, ,130401,"['趣味十足（88）', '创意培养（29）', '游戏指南（26）', '思维养成（23）', '实用：内容丰富（22）', '开发智力（19）']"
15,带壳的牡蛎是大人的心脏（当当专享签章版+作者亲绘贴纸。火爆全网现象级漫画，汪苏泷、沈月、容祖儿、阮筠庭真诚推荐！）,"['拟泥nini ', '绘 时代华语 出品']",None,http://img3m7.ddimg.cn/47/4/29463437-1_w_1695289711.jpg,2022年09月 ,北京联合出版有限公司,40.80,68.00,6,动漫/幽默,大陆漫画,32开,胶版纸,平装-胶订,否,9787559662170,"◆超人气漫画家拟泥nini作品集结，温暖来袭！刷屏微博、公众号、小红书等社交媒体，全网阅读量超500万 ！
◆当你脆弱的时候，就看拟泥nini吧！用糖果色的漫画诠释现实世界的烦恼与丧，给正在经历着阴雨天的大人，一个安慰的拥抱。卸下所有的面具和重担，把脆弱的权利还给大人。
◆有时候，上一秒还是小孩，下一秒就已经是大人了。当我们发现有天在世界面前，只能礼貌地笑着，不能哭也不能发脾气的时候，才明白这种打了镇定剂一般的感觉，是被叫做“成为大人”。
◆太奇怪也没关系，不够完美也值得被爱！在循环往复的混沌和疲劳之中，不要忘了生活本身的意义，做一个闪光的人，去守护你所爱的人与事。
◆人生很难，祝你快乐！累的时候睡一觉，心情不好吃甜的，脆弱的时候就去看看花。所谓的大人，都是披着坚硬外壳的柔软牡蛎。Nini的漫画就像是贴在伤口上的OK绷。是你自己的人生，按你喜欢的方式去选择吧！
◆我们和时间一起做的事情，时间也会尊重它。成长是一个漫长的过程，要允许脆弱，更需要耐心和勇气！给总是隐藏情绪、被迫长大的大人们一丝勇气，脱掉坚硬的外壳，短暂“逃离现实”，回到我们出发的原点。
◆312页暖心故事，篇篇治愈！集结长篇代表作《带壳的牡蛎是大人的心脏》、人气连载《向日葵花园》系列并附特别结局，更收录17个暖萌短篇，其中4篇为全新创作首发。从可爱温暖的故事到疲惫无奈的现实，收录了一些对爱与梦的记录，是一些破碎后的自愈，一些对命运和希望的小小思考，更是对日常生活颇具勇气的复盘。
◆小开本&高颜值！全彩印刷，可180度平摊阅读，臻彩呈现。可随手携带翻读，暖心又催泪！
 ",395597,"['解压神器（50）', '被治愈（47）', '画工精美（37）', '热血（34）', '暖萌（28）', '好搞笑（21）', '同人（17）', '值得收藏（7）']"
